class_id, teach_id, course_id, year_id, period
1,41,1,1,1
2,41,2,1,2
3,41,3,1,3
4,41,4,1,4
5,41,5,2,1
6,55,9,1,1
7,12071,10,1,3
8,12071,10,1,4
9,12071,10,1,1
10,12071,10,1,2
11,281224,11,1,2
12,281224,12,1,1
13,38733,30,1,1
14,332027,32,1,3
15,332027,75,1,4
16,37662,84,1,1
17,37662,111,1,2
18,39922,126,1,3
19,37662,62,1,4
20,248235,136,1,3
21,364705,161,1,4
22,364705,163,1,2
23,364705,41,1,1
24,36388,134,1,1
25,44657,106,1,4
26,30310,181,1,1
27,30310,15,1,2
28,30310,64,1,3
29,37386,125,1,1
30,44657,88,1,3
31,36388,33,1,2
32,37424,40,1,3
33,37386,16,1,3
34,36152,69,1,2
35,43230,81,1,1
36,45029,123,1,4
37,46937,127,1,2
38,45029,115,1,1
39,46937,91,1,3
40,284007,118,1,1
41,30449,77,1,3
42,30449,92,1,4
43,36152,85,1,4
44,284007,152,1,2
45,284007,116,1,3
46,42214,176,1,3
47,42214,147,1,2
48,43144,177,1,3
49,46154,164,1,1
50,43572,171,1,3
51,30449,160,1,1
52,44668,150,1,4
53,36362,63,1,2
54,36362,44,1,4
55,36152,140,1,1
56,363001,50,1,4
57,363001,50,1,3
58,363001,50,1,2
59,363001,50,1,1
60,21668,68,1,4
61,21668,68,1,3
62,34979,183,1,4
63,34979,183,1,3
64,363001,195,1,4
65,363001,195,1,3
66,42214,21,1,1
67,48300,112,1,1
68,37424,102,1,2
69,39845,98,1,3
70,36388,96,1,4
71,39922,120,1,1
72,44657,149,1,1
73,44890,142,1,2
74,42567,170,1,3
75,42567,159,1,4
76,41074,172,1,1
77,39845,82,1,2
78,43544,59,1,4
79,32633,138,1,1
80,32633,5,5,2
81,43144,28,1,2
82,48300,185,1,3
83,44890,13,1,4
84,42567,25,1,2
85,43544,186,1,1
86,41074,42,1,4
87,32633,67,1,2
88,37424,38,1,4
89,41265,124,1,1
90,41265,89,1,2
91,17051,168,1,3
92,17051,173,1,4
93,41265,184,1,4
94,44668,31,1,3
95,44698,119,1,3
96,44779,110,1,4
97,44668,108,1,2
98,44779,86,1,3
99,46937,22,1,4
100,44698,132,1,1
101,44698,19,1,2
102,37983,107,1,2
103,48300,145,1,4
104,44890,128,1,1
105,29914,45,1,1
106,44762,182,1,4
107,44762,76,1,1
108,43544,51,1,2
109,37386,60,1,2
110,46154,36,1,3
111,37983,29,1,4
112,42297,70,1,3
113,46154,135,1,2
114,44803,167,1,3
115,11409,66,1,2
116,44803,191,1,1
117,17053,53,1,1
118,17051,169,1,1
119,11454,37,1,4
120,39845,189,1,1
121,43378,73,1,3
122,45029,14,1,2
123,11454,56,1,1
124,35409,17,1,4
125,11454,46,1,2
126,11534,54,1,3
127,21668,61,1,2
128,331304,20,1,3
129,331304,57,1,4
130,37930,190,1,1
131,43230,141,1,2
132,37930,78,1,2
133,44470,93,1,4
134,43230,83,1,3
135,331304,153,1,1
136,21668,122,1,1
137,11534,105,1,4
138,11534,87,1,2
139,44470,117,1,3
140,37930,100,1,4
141,35409,151,1,1
142,332027,146,1,2
143,35409,166,1,3
144,44803,144,1,4
145,17053,196,1,3
146,17053,156,1,4
147,40162,26,1,3
148,42297,133,1,2
149,40162,101,1,2
150,31666,99,1,2
151,31666,121,1,3
152,40162,187,1,4
153,37983,23,1,3
154,34979,157,1,2
155,42297,52,1,1
156,31666,158,1,4
157,34979,139,1,1
158,28337,24,1,1
159,28337,49,1,2
160,28337,193,1,3
161,39922,47,1,4
162,281224,197,1,4
163,11794,129,1,3
164,40136,80,1,2
165,43587,55,1,4
166,29914,58,1,3
167,11794,130,1,1
168,43587,48,1,3
169,248235,7,1,1
170,43378,192,1,4
171,248235,43,1,2
172,12849,113,1,1
173,40136,109,1,3
174,12849,97,1,2
175,47096,90,1,4
176,11794,94,1,2
177,44896,154,1,1
178,44896,143,1,4
179,38656,162,1,2
180,47096,148,1,1
181,47096,174,1,3
182,38656,165,1,4
183,44896,137,1,2
184,38656,18,1,1
185,11409,6,1,4
186,11409,65,1,3
187,11564,155,1,4
188,11564,27,1,1
189,42814,71,1,4
190,44762,131,1,3
191,23360,175,1,4
192,23360,39,1,2
193,42814,95,1,3
194,23360,114,1,1
195,42814,188,1,2
196,11564,194,1,3
197,208466,72,1,2
198,12849,8,1,4
199,40136,9,1,1
